tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
35,8,29.4269,46.8151,33.324,28.6763,97.5097,13.7833,4.40907,4.41774,3.71579,11.9433,2.03984,11.759,2.11608,2.87579,2.10459,1.22857,13.4596
36,2,2.84105,100.677,1.76127,10.9845,10.524,5.48466,2.84704,1.16639,2.84505,1.72884,1.78121,0.373912,1.06576,0.158405,0.23924,0.0829167,0.036362
37,10,30.2588,65.1919,15.5111,26.7008,14.9748,283.399,9.53368,4.5345,4.20648,7.54174,9.42003,16.599,2.03426,16.524,9.58116,7.80344,4.50829
38,10,14.8332,50.0636,1.89791,11.1537,7.15803,308.702,8.58651,2.9596,1.48247,1.63267,0.742784,18.6184,1.2738,18.4778,0.792333,1.99341,0.430163
39,10,2.61634,7.79616,4.98118,3.21179,10.3339,352.515,9.08721,3.29829,1.87137,1.87666,0.904936,15.7605,1.19617,16.0029,2.01167,2.09178,0.54428
40,10,5.6206,21.7812,8.49057,6.19773,8.2562,314.4,7.64548,4.20558,2.26149,1.84711,1.83527,14.0113,1.47096,13.6093,2.00137,1.82284,2.58737
41,10,4.92265,25.0031,12.7895,11.7334,50.5286,321.996,107.703,8.57206,3.24145,3.50523,5.74169,13.8065,6.23684,11.5997,4.13101,7.65077,5.27177
42,12,11.7594,12.3829,20.1122,34.6874,67.5339,225.828,255.528,65.7234,33.3948,18.774,11.5274,7.4533,10.05,4.63901,10.0202,3.9241,3.49692
43,12,5.17163,29.8924,8.35281,11.2208,13.5374,60.9828,347.75,53.7154,13.8331,4.22109,3.07641,5.19436,6.41813,18.5963,8.46499,17.6427,9.27359
44,12,2.372,10.0799,3.90097,9.51936,5.65213,8.46757,360.087,7.86041,4.53648,1.77652,1.67452,2.73611,0.924594,13.345,0.633102,12.6706,0.701993
45,12,1.88738,3.78919,2.05916,5.64002,5.4668,17.3799,389.026,18.612,1.68106,0.869689,1.69104,1.61645,1.99592,17.6534,2.64493,17.6743,0.973356
46,12,3.98232,47.5302,2.33191,7.73563,6.88104,15.2971,361.514,38.3939,9.54868,4.50597,2.61775,7.81741,1.54047,24.3734,4.20041,24.8341,3.3818
47,12,2.62944,13.4934,10.44,3.335,4.35626,9.23958,341.639,68.2947,10.7394,3.134,5.5276,1.52825,1.09941,21.0118,1.01741,19.9853,1.82375
48,14,22.5613,16.8231,35.2945,7.82073,13.716,4.71526,23.0617,100.515,10.1594,3.51415,5.7769,1.70932,1.35086,2.42663,1.19088,4.03487,0.788671
49,14,13.1054,44.932,10.7267,11.7164,4.4388,5.30704,13.6624,107.524,9.6264,3.11202,1.93753,1.29975,1.09309,1.2513,1.2544,5.96637,1.97464
50,14,2.22911,31.1084,0.803128,9.12037,4.17833,4.27687,15.7899,113.503,12.7989,4.23342,1.85352,1.223,0.986116,0.828522,0.916824,6.23363,0.726154
51,14,21.9137,47.6289,23.7292,5.1868,10.1891,3.94704,9.28205,97.3392,9.22186,2.67918,1.21492,0.379523,1.71257,0.582887,0.66513,8.86047,1.29306
52,6,18.1171,9.62168,2.78761,23.6199,11.3265,4.17772,8.29928,6.12187,6.58822,0.517702,0.690232,0.151308,0.181866,0.0416801,0.143626,0.0785471,0.0654606
53,16,19.8948,31.5965,10.8841,19.609,12.0811,4.25078,4.45899,4.53044,352.687,4.48762,4.74834,2.64311,3.65866,5.20257,6.18366,8.49819,12.292
54,16,1.83973,14.945,3.28334,2.68066,5.67808,13.5625,3.88127,2.66056,365.101,2.1971,3.904,3.49348,3.65754,3.55527,2.66763,6.03776,2.94356
55,16,27.5157,36.0506,12.7458,13.8152,9.32448,2.94159,5.67612,2.06801,357.995,1.99878,4.04789,1.2059,2.92243,4.58377,2.40688,7.65903,0.824576
56,16,3.79158,29.4191,1.82877,14.0567,5.01721,6.16738,5.54145,7.72624,345.203,7.77343,5.40239,3.31102,2.15898,1.16265,1.66868,3.05317,3.14457
57,16,4.96987,28.8895,9.12865,3.68238,3.09244,3.54531,3.47787,0.739954,368.787,0.954537,3.48071,1.55664,1.4273,0.670048,0.336463,0.970853,0.657734
58,16,8.036,23.2679,0.986748,1.43826,2.24303,1.56447,5.41804,6.34164,357.918,6.25245,5.96987,1.57674,2.71424,1.61245,1.01328,4.64554,3.6619
59,16,1.19552,19.1779,13.4508,10.4119,6.20944,6.71432,1.1573,1.34175,382.941,1.22219,1.31944,4.54872,4.52194,6.4185,8.8737,5.44145,1.13752
60,6,3.90555,28.036,27.1165,43.7303,13.8996,10.716,6.96693,12.3466,25.8297,2.16527,10.3696,0.810423,0.857336,9.89246,0.262647,0.717657,0.486432
61,18,14.1103,6.25968,17.6508,8.98788,8.77523,2.84098,7.77509,5.99866,1.53029,364.306,1.5275,3.15438,2.10617,0.440024,3.74619,1.11982,7.83672
62,18,1.70131,9.04364,15.4163,6.92637,7.85226,2.17724,4.92136,6.27267,7.82625,415.976,8.5254,3.21851,1.8684,4.45606,1.18628,2.14709,2.07487
63,18,3.09941,18.3453,8.36952,2.501,5.02926,1.54013,4.51923,4.71398,7.62118,392.153,7.98633,3.86093,1.78899,2.57924,1.11757,1.03699,1.51017
64,18,2.71759,15.7155,4.38676,3.37629,2.26808,3.81098,1.69093,2.44085,1.45219,372.15,1.7904,2.40258,1.69124,7.33995,2.02862,2.775,2.92807
65,18,0.862824,0.811935,1.74028,13.7085,1.39549,0.747905,1.737,2.93667,2.31871,370.139,1.29006,2.81117,0.389587,1.92723,0.316636,0.767568,0.73126
66,18,1.07945,9.18817,10.6061,6.33088,4.40375,2.01536,3.99608,3.83177,2.7041,360.402,3.28231,4.11766,3.34827,1.41683,4.20888,5.80332,1.91498
67,18,5.06123,6.36685,5.60067,15.491,1.77931,1.63208,6.76305,5.27734,5.4762,353.946,1.71698,5.30741,1.31571,0.512933,0.407254,1.25505,0.462076
68,0,63.874,42.3386,47.3858,23.474,11.3984,8.88977,1.54817,3.40199,1.02513,21.6526,0.656424,1.00433,0.606165,1.29092,0.383394,0.98486,0.446437
69,20,1.92723,23.1125,6.79913,5.12497,8.98597,11.5168,1.12661,2.58004,8.24327,1.63159,350.205,1.64868,8.27487,0.810823,1.10957,0.753121,0.649908
70,20,2.98517,22.9804,2.14935,7.2207,8.75133,1.94364,7.11454,2.76381,4.81049,3.56555,357.185,4.00289,3.5495,3.36974,1.37584,1.16953,0.630258
71,20,1.91081,21.2491,2.00939,8.03035,4.38075,0.471898,3.89832,1.01163,3.54918,2.04834,366.336,3.61383,3.507,2.65908,2.08776,0.929044,1.85107
