tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
111,30,2.05137,1.14828,2.2786,1.76746,2.59947,2.24183,2.34933,2.43617,2.82271,3.00289,2.98231,4.24734,5.92007,5.20195,19.7014,319.471,16.6197
112,30,2.78038,3.21734,1.82665,2.02958,1.64909,1.39511,2.11572,1.03977,2.85954,1.68136,3.62721,1.65417,4.91756,3.31436,11.5398,370.559,10.6096
113,30,1.08883,0.32372,0.530818,0.703937,2.43886,0.407291,0.546716,0.273893,1.57129,0.414607,0.935297,0.873907,0.816626,1.26155,3.10421,364.389,3.27137
114,30,0.582063,0.445219,0.388722,0.560358,0.366855,0.436257,0.410769,0.475499,0.757212,0.567523,4.50608,0.945338,1.22535,3.17701,4.59154,374.627,3.6606
115,30,1.93402,6.66015,1.96284,2.68911,2.04689,1.9001,1.51379,2.16117,2.55547,2.51113,3.00991,3.8595,5.52506,8.15178,17.1359,279.417,13.4127
116,30,0.260331,1.08274,0.192415,0.230763,0.230095,0.350099,0.224973,0.251583,0.327578,1.94822,2.20886,0.47447,2.36361,3.20197,2.30191,16.6176,0.311535
117,32,1.90583,2.38884,0.572584,0.994682,0.687216,0.627816,1.01011,0.54237,1.28322,5.17743,0.977136,2.60283,4.25628,1.74835,2.92667,6.26283,333.7
118,32,0.471304,0.873764,0.872167,0.527402,0.506941,0.606282,0.399756,0.43809,0.75075,0.523102,4.58854,0.420834,0.673149,4.25445,1.57087,3.61739,377.596
119,32,0.413444,0.45982,0.383322,0.758464,1.13858,0.216421,0.908416,0.30025,0.239471,2.11484,1.99646,0.389236,0.406059,1.38648,1.1051,0.687348,377.501
120,32,4.56732,3.93565,0.908766,0.887627,1.71506,1.2153,2.12386,1.57162,1.91386,6.24741,1.38929,4.58532,6.59968,3.79615,3.74596,9.77091,329.532
121,32,0.480441,0.575795,0.291185,1.0388,1.20976,0.499828,0.355224,0.266741,1.4896,1.79876,4.28155,0.404634,1.56936,1.70177,2.53829,1.64609,370.778
122,32,2.44893,2.16755,1.6303,1.38727,1.51,1.26846,1.34415,1.51154,1.86728,2.49936,2.47677,2.27212,2.70257,3.62083,5.24791,11.9444,298.926
123,32,0.28158,0.858966,0.610716,0.404219,0.333477,0.347954,0.208327,0.350327,1.17308,5.79408,1.09495,1.08365,4.45102,0.88523,3.30377,4.18608,346.619
124,32,3.41368,6.52248,4.39015,1.76809,2.03821,1.10925,0.634484,3.04535,0.709081,1.3693,5.49788,0.542422,0.590785,0.674969,1.52073,0.84198,19.3669
